,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene symbol
ENSG00000125149,558.4437055,2.622755263,0.303434494,8.643563332,5.45E-18,2.12E-16,C16orf70
ENSG00000160783,137.4594644,2.325054464,0.269310811,8.633349915,5.96E-18,2.31E-16,PMF1
ENSG00000255529,146.6560474,-2.454841635,0.284340206,-8.633466465,5.95E-18,2.31E-16,POLR2M
ENSG00000125249,161.0745893,-2.902911876,0.336515632,-8.62638047,6.33E-18,2.45E-16,RAP2A
ENSG00000110344,381.4247446,-1.774141996,0.205709609,-8.62449743,6.44E-18,2.48E-16,UBE4A
ENSG00000162604,211.8839679,-3.08129007,0.357274323,-8.624437503,6.44E-18,2.48E-16,TM2D1
ENSG00000170949,141.4782592,-3.53426623,0.410261763,-8.614661528,7.01E-18,2.70E-16,ZNF160
ENSG00000140553,351.7943261,1.730364067,0.200871959,8.614263902,7.04E-18,2.70E-16,UNC45A
ENSG00000064763,194.7764911,-2.23314938,0.259251302,-8.61384056,7.07E-18,2.71E-16,FAR2
ENSG00000135723,314.8182317,-3.938684078,0.457517502,-8.608816193,7.38E-18,2.82E-16,FHOD1
ENSG00000113456,79.62715543,-3.42323547,0.397744245,-8.606624763,7.52E-18,2.87E-16,RAD1
ENSG00000145860,127.7251552,-3.002262037,0.348930415,-8.604185547,7.69E-18,2.93E-16,RNF145
ENSG00000152822,41.66540617,5.249536196,0.610154053,8.603624239,7.72E-18,2.93E-16,GRM1
ENSG00000155926,2420.956928,-2.288731288,0.266015315,-8.60375759,7.71E-18,2.93E-16,SLA
ENSG00000170852,378.5247577,1.653306926,0.19217897,8.602954438,7.77E-18,2.94E-16,KBTBD2
ENSG00000183091,76.92007214,-4.680936826,0.544525422,-8.596360491,8.23E-18,3.10E-16,NEB
ENSG00000170325,77.95780253,-5.068805124,0.590220984,-8.587978499,8.85E-18,3.33E-16,PRDM10
ENSG00000134202,285.4714322,-2.397483314,0.279281189,-8.584478335,9.12E-18,3.43E-16,GSTM3
ENSG00000154222,168.5218033,-3.627830034,0.422624734,-8.584045716,9.16E-18,3.43E-16,CC2D1B
ENSG00000044574,5530.758093,-2.465489325,0.287226327,-8.583786012,9.18E-18,3.43E-16,HSPA5
ENSG00000169385,619.9080201,-1.491423568,0.173761578,-8.583160831,9.23E-18,3.45E-16,RNASE2
ENSG00000118197,100.0572255,-3.462389258,0.403628972,-8.578148499,9.64E-18,3.59E-16,DDX59
ENSG00000140688,168.1203409,-2.790996773,0.325406966,-8.576942315,9.74E-18,3.62E-16,RUSF1
ENSG00000105514,93.59474073,-3.69810666,0.431447132,-8.571401647,1.02E-17,3.79E-16,RAB3D
ENSG00000135083,88.65298449,2.924511695,0.34159149,8.56143019,1.11E-17,4.13E-16,CCNJL
ENSG00000115808,106.2633904,3.581335741,0.418627763,8.554940818,1.18E-17,4.36E-16,STRN
ENSG00000135930,215.357047,-2.021960616,0.236423725,-8.552274585,1.21E-17,4.45E-16,EIF4E2
ENSG00000123178,71.51742508,-4.28899853,0.501937346,-8.544888247,1.29E-17,4.73E-16,SPRYD7
ENSG00000123338,1289.596197,-1.568916916,0.183674818,-8.541818262,1.32E-17,4.85E-16,NCKAP1L
ENSG00000136436,556.5288835,-1.916824354,0.224735434,-8.529248454,1.47E-17,5.40E-16,CALCOCO2
ENSG00000278311,214.749146,-5.032262875,0.590025141,-8.528895673,1.48E-17,5.40E-16,GGNBP2
ENSG00000162419,225.8645382,2.071870947,0.242940282,8.528313743,1.48E-17,5.42E-16,GMEB1
ENSG00000164068,160.4028503,2.125670366,0.249316364,8.525996175,1.52E-17,5.51E-16,RNF123
ENSG00000164125,372.7787344,-1.997161107,0.234467653,-8.517853437,1.63E-17,5.90E-16,GASK1B
ENSG00000163820,142.5324331,2.313325205,0.271610748,8.517060635,1.64E-17,5.93E-16,FYCO1
ENSG00000135124,815.8701157,1.825872379,0.214479704,8.513031057,1.69E-17,6.13E-16,P2RX4
ENSG00000118418,545.7760408,1.492762303,0.175377445,8.511712015,1.71E-17,6.19E-16,HMGN3
ENSG00000065183,161.971516,-2.791739911,0.32799967,-8.511410738,1.72E-17,6.19E-16,WDR3
ENSG00000134321,82.6851543,3.71834594,0.438300898,8.483546243,2.18E-17,7.85E-16,RSAD2
ENSG00000188549,279.4024875,2.061973575,0.243126337,8.481078616,2.23E-17,8.01E-16,CCDC9B
ENSG00000118785,66794.81579,-3.487379977,0.411260638,-8.479731957,2.26E-17,8.08E-16,SPP1
ENSG00000196290,78.48004677,-3.613042733,0.426089598,-8.479537518,2.26E-17,8.08E-16,NIF3L1
ENSG00000214654,65.58377558,4.438539456,0.52359465,8.477052729,2.31E-17,8.24E-16,-
ENSG00000113749,419.7874198,-2.888933683,0.340808565,-8.476705055,2.32E-17,8.24E-16,HRH2
ENSG00000103365,591.530824,-2.270052589,0.26805289,-8.468674173,2.48E-17,8.81E-16,GGA2
ENSG00000198171,118.4413655,-3.199933411,0.377883543,-8.468041201,2.50E-17,8.85E-16,DDRGK1
ENSG00000145439,165.8788534,-2.412285053,0.28494728,-8.46572409,2.55E-17,8.99E-16,CBR4
ENSG00000172215,61.76665453,3.630456244,0.428832705,8.465903376,2.54E-17,8.99E-16,CXCR6
ENSG00000158714,341.4953279,-4.081494509,0.482173042,-8.464792007,2.57E-17,9.04E-16,SLAMF8
ENSG00000144228,98.96413611,-3.174969925,0.375159125,-8.462995346,2.61E-17,9.14E-16,SPOPL
