,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene symbol
ENSG00000196998,425.0199708,1.044869865,0.201288183,5.190915086,2.09E-07,1.48E-06,WDR45
ENSG00000136940,97.87580952,-1.961755478,0.3779392,-5.19066421,2.10E-07,1.48E-06,PDCL
ENSG00000101811,41.2674154,-3.227559997,0.621876391,-5.190034621,2.10E-07,1.49E-06,CSTF2
ENSG00000006194,29.92386624,-4.085901662,0.787357291,-5.189386962,2.11E-07,1.49E-06,ZNF263
ENSG00000236438,777.8686415,-2.328896685,0.448846919,-5.188621301,2.12E-07,1.50E-06,-
ENSG00000173209,689.877411,1.669520816,0.321842409,5.187386027,2.13E-07,1.51E-06,-
ENSG00000167670,26.36692215,2.964091316,0.571492568,5.186578936,2.14E-07,1.51E-06,CHAF1A
ENSG00000153574,24.89875118,-7.86281536,1.516265307,-5.185646155,2.15E-07,1.52E-06,RPIA
ENSG00000259335,26.25863393,3.871074532,0.74653848,5.185365038,2.16E-07,1.52E-06,-
ENSG00000175274,620.2278304,1.090544637,0.210330694,5.184904856,2.16E-07,1.52E-06,TP53I11
ENSG00000066084,384.3294285,-1.490424829,0.287635809,-5.181638666,2.20E-07,1.55E-06,DIP2B
ENSG00000270149,28.64270996,-8.067504295,1.557016601,-5.181386177,2.20E-07,1.55E-06,-
ENSG00000163625,350.391131,-1.473249749,0.284351707,-5.181082837,2.21E-07,1.55E-06,WDFY3
ENSG00000219607,56.62011176,-2.173834846,0.419576187,-5.181025319,2.21E-07,1.55E-06,PPP1R3G
ENSG00000028203,128.040887,-1.635069508,0.315608661,-5.180686438,2.21E-07,1.56E-06,VEZT
ENSG00000197903,149.2535683,1.249824575,0.241344557,5.17859028,2.24E-07,1.57E-06,H2BC12
ENSG00000171497,230.9855377,-1.146157835,0.221349165,-5.178053563,2.24E-07,1.58E-06,PPID
ENSG00000255095,11.6026877,6.705919678,1.295619494,5.175840367,2.27E-07,1.60E-06,OR1D4
ENSG00000174744,187.3779627,1.275323456,0.246429783,5.175200183,2.28E-07,1.60E-06,BRMS1
ENSG00000230077,11.74238251,6.720829525,1.29868276,5.175112607,2.28E-07,1.60E-06,-
ENSG00000114982,146.9855855,-1.553551539,0.300263745,-5.173956444,2.29E-07,1.61E-06,KANSL3
ENSG00000172795,533.4144598,1.441661538,0.278727839,5.172291167,2.31E-07,1.62E-06,DCP2
ENSG00000131931,24.90683109,-7.862734643,1.520437739,-5.171362456,2.32E-07,1.63E-06,THAP1
ENSG00000105732,54.40665724,-7.657652952,1.480851904,-5.171113284,2.33E-07,1.63E-06,ZNF574
ENSG00000182118,26.53831048,-7.955864682,1.538968441,-5.169608726,2.35E-07,1.64E-06,FAM89A
ENSG00000065613,111.3923981,1.60958824,0.311375542,5.169282828,2.35E-07,1.65E-06,SLK
ENSG00000116138,192.1046331,1.426161481,0.275922534,5.16870246,2.36E-07,1.65E-06,DNAJC16
ENSG00000130724,393.6180823,1.305167207,0.252513346,5.168705847,2.36E-07,1.65E-06,CHMP2A
ENSG00000218682,16.98396531,4.37329854,0.84616343,5.168385189,2.36E-07,1.65E-06,-
ENSG00000136861,218.7751852,1.262594252,0.244307827,5.168046679,2.37E-07,1.66E-06,CDK5RAP2
ENSG00000163162,1190.290289,-1.20350846,0.232876703,-5.168007123,2.37E-07,1.66E-06,RNF149
ENSG00000149781,610.8833976,-1.012512134,0.195999175,-5.165899971,2.39E-07,1.67E-06,FERMT3
ENSG00000170627,27.18999588,-7.984618916,1.545719768,-5.165631626,2.40E-07,1.67E-06,GTSF1
ENSG00000136709,491.34744,-1.087115693,0.210618242,-5.161545761,2.45E-07,1.71E-06,WDR33
ENSG00000124228,665.7192308,1.172291061,0.227134947,5.161209558,2.45E-07,1.71E-06,DDX27
ENSG00000102595,220.6849946,-1.203438809,0.23324463,-5.159556344,2.48E-07,1.73E-06,UGGT2
ENSG00000136068,58.44898101,-8.175500753,1.584616412,-5.159293245,2.48E-07,1.73E-06,FLNB
ENSG00000131507,349.3625832,-1.049879053,0.203497984,-5.159161924,2.48E-07,1.73E-06,NDFIP1
ENSG00000140285,33.05422597,-8.268254919,1.602941565,-5.158176129,2.49E-07,1.74E-06,FGF7
ENSG00000101444,445.9670686,1.341615992,0.26014747,5.157136414,2.51E-07,1.75E-06,AHCY
ENSG00000144591,272.035456,1.093984015,0.21217831,5.155965349,2.52E-07,1.76E-06,GMPPA
ENSG00000168116,77.02492601,2.140717855,0.415235101,5.155435678,2.53E-07,1.76E-06,KIAA1586
ENSG00000156697,56.91661329,-7.5967637,1.473809063,-5.154510098,2.54E-07,1.77E-06,UTP14A
ENSG00000179364,390.9069727,1.585113244,0.30764036,5.152487931,2.57E-07,1.79E-06,PACS2
ENSG00000238111,13.68436353,5.573096452,1.081698155,5.152173393,2.57E-07,1.79E-06,-
ENSG00000127483,738.5238636,-1.353473585,0.262714357,-5.151882827,2.58E-07,1.79E-06,HP1BP3
ENSG00000144895,419.690259,-1.075038801,0.208682952,-5.151541086,2.58E-07,1.80E-06,EIF2A
ENSG00000082805,188.8316768,1.782696336,0.346153941,5.150010229,2.60E-07,1.81E-06,ERC1
ENSG00000132591,239.6647153,1.368019774,0.265673693,5.14924815,2.62E-07,1.82E-06,ERAL1
ENSG00000131979,26.40125759,-7.940166574,1.542479333,-5.147664805,2.64E-07,1.83E-06,GCH1
ENSG00000189046,25.74321368,-7.909491579,1.536577673,-5.14747267,2.64E-07,1.83E-06,ALKBH2
ENSG00000182307,141.3922114,-1.441461713,0.280068829,-5.14681236,2.65E-07,1.84E-06,C8orf33
ENSG00000151893,756.7317099,1.413273145,0.274618353,5.146317166,2.66E-07,1.84E-06,CACUL1
ENSG00000267796,25.35017876,-7.886475016,1.532573893,-5.14590197,2.66E-07,1.85E-06,LIN37
ENSG00000135631,24.01277859,-7.809895625,1.517907105,-5.145173642,2.67E-07,1.85E-06,RAB11FIP5
ENSG00000125967,53.30184767,2.749277226,0.534405671,5.144550996,2.68E-07,1.86E-06,NECAB3
ENSG00000138185,1969.950159,0.762336483,0.14818203,5.144594691,2.68E-07,1.86E-06,ENTPD1
ENSG00000184635,36.11838253,-4.657475304,0.905302778,-5.144660349,2.68E-07,1.86E-06,ZNF93
ENSG00000182899,2088.358733,1.459993469,0.2838207,5.144069728,2.69E-07,1.86E-06,RPL35A
ENSG00000183741,131.5726638,1.779114287,0.345870572,5.143872977,2.69E-07,1.86E-06,CBX6
ENSG00000172007,108.4989984,-2.148782427,0.417745706,-5.14375706,2.69E-07,1.86E-06,RAB33B
ENSG00000100629,48.38366375,-3.6900302,0.717966503,-5.139557604,2.75E-07,1.90E-06,CEP128
ENSG00000171940,163.4110368,-1.966044092,0.382580694,-5.138900421,2.76E-07,1.91E-06,ZNF217
ENSG00000145287,316.7778693,-1.557139122,0.303031776,-5.138534132,2.77E-07,1.91E-06,PLAC8
ENSG00000224072,16.51962378,5.144302202,1.001208508,5.138092777,2.78E-07,1.92E-06,-
ENSG00000106948,572.2842231,1.169374543,0.227604151,5.137755792,2.78E-07,1.92E-06,AKNA
ENSG00000187266,123.7595655,1.381922252,0.268976353,5.137709075,2.78E-07,1.92E-06,EPOR
ENSG00000133059,191.9228933,1.292887151,0.251651038,5.137618991,2.78E-07,1.92E-06,DSTYK
ENSG00000119431,63.35223195,-2.118078469,0.412291258,-5.137335392,2.79E-07,1.92E-06,HDHD3
ENSG00000125827,69.66358795,-1.884966422,0.366930621,-5.137119422,2.79E-07,1.92E-06,TMX4
ENSG00000115008,25.82218685,-7.91365186,1.540688103,-5.136439911,2.80E-07,1.93E-06,IL1A
ENSG00000177542,24.25126207,-7.822041181,1.522839951,-5.136482778,2.80E-07,1.93E-06,SLC25A22
ENSG00000136205,614.8704174,1.345242005,0.261924605,5.135989434,2.81E-07,1.93E-06,TNS3
ENSG00000110514,260.2614404,-1.09746557,0.213685461,-5.135892567,2.81E-07,1.93E-06,MADD
ENSG00000175970,24.9860389,-7.863171814,1.531094461,-5.135654274,2.81E-07,1.93E-06,UNC119B
ENSG00000160957,21.81375928,3.280228881,0.638839981,5.134664359,2.83E-07,1.94E-06,RECQL4
ENSG00000068885,61.16447623,-2.497288195,0.486374742,-5.134493999,2.83E-07,1.94E-06,IFT80
ENSG00000155906,50.46229735,-2.306949792,0.449616027,-5.130933183,2.88E-07,1.98E-06,RMND1
ENSG00000156110,195.6131364,1.141719737,0.222540794,5.130384043,2.89E-07,1.98E-06,ADK
ENSG00000240303,186.7737408,-1.193706803,0.232728102,-5.129190639,2.91E-07,2.00E-06,ACAD11
ENSG00000116649,25.05229645,-7.870305356,1.53507674,-5.126978445,2.94E-07,2.02E-06,SRM
ENSG00000171236,83.21193972,-3.56378207,0.695186425,-5.126368903,2.95E-07,2.03E-06,LRG1
ENSG00000173281,386.9117984,-2.578848285,0.50316411,-5.125262784,2.97E-07,2.04E-06,PPP1R3B
ENSG00000074356,218.8901805,-1.238652826,0.241697281,-5.124810752,2.98E-07,2.04E-06,NCBP3
ENSG00000167377,69.24188928,-2.018057483,0.393794932,-5.124640568,2.98E-07,2.04E-06,ZNF23
ENSG00000129465,107.8690015,-1.734886672,0.339001011,-5.117644537,3.09E-07,2.12E-06,RIPK3
ENSG00000072110,151.9028018,1.56424247,0.305778716,5.115602852,3.13E-07,2.14E-06,ACTN1
ENSG00000083814,39.94936943,2.078652675,0.406474675,5.113855309,3.16E-07,2.16E-06,ZNF671
ENSG00000154511,55.15424832,-2.419904157,0.473245476,-5.113422696,3.16E-07,2.16E-06,DIPK1A
ENSG00000110107,33.29142157,-5.002172381,0.978330013,-5.112970384,3.17E-07,2.17E-06,PRPF19
ENSG00000172824,81.64523944,2.270018146,0.444084343,5.111682453,3.19E-07,2.18E-06,CES4A
ENSG00000253383,21.65534995,3.06266839,0.599177885,5.111450986,3.20E-07,2.18E-06,-
ENSG00000183023,655.4563118,1.508770739,0.295183834,5.111291895,3.20E-07,2.18E-06,SLC8A1
ENSG00000135317,308.3464465,-1.497775129,0.293058919,-5.110832785,3.21E-07,2.19E-06,SNX14
ENSG00000100122,42.50148239,2.003287327,0.39205588,5.109698468,3.23E-07,2.20E-06,CRYBB1
ENSG00000198792,83.08768703,-2.117401251,0.414511386,-5.108185976,3.25E-07,2.22E-06,TMEM184B
ENSG00000204231,38.33752512,-8.483050794,1.661259568,-5.106396951,3.28E-07,2.24E-06,RXRB
ENSG00000005469,38.64514108,-6.171055793,1.208623391,-5.105855007,3.29E-07,2.24E-06,CROT
ENSG00000042429,175.7964336,-1.516049905,0.29693427,-5.105675085,3.30E-07,2.24E-06,MED17
ENSG00000130830,472.3890079,1.253959255,0.245598599,5.10572641,3.30E-07,2.24E-06,MPP1
ENSG00000176994,107.7842502,-1.823568608,0.357253102,-5.104416444,3.32E-07,2.26E-06,SMCR8
ENSG00000189403,2057.305306,0.975378241,0.191083544,5.104459663,3.32E-07,2.26E-06,HMGB1
ENSG00000173599,24.93884098,-7.863104075,1.540535866,-5.104135677,3.32E-07,2.26E-06,PC
ENSG00000182054,443.6435306,1.04597189,0.204931545,5.104006266,3.33E-07,2.26E-06,IDH2
ENSG00000136942,1444.539602,1.71327523,0.335679222,5.103906103,3.33E-07,2.26E-06,RPL35
ENSG00000119638,570.8681583,1.412943132,0.276893977,5.10283086,3.35E-07,2.27E-06,NEK9
ENSG00000149932,625.6157447,1.316932253,0.258099233,5.102426064,3.35E-07,2.28E-06,TMEM219
ENSG00000124608,100.2596589,-1.52550923,0.29899231,-5.102168785,3.36E-07,2.28E-06,AARS2
ENSG00000197008,46.95001297,-2.896097835,0.567692439,-5.101526175,3.37E-07,2.29E-06,ZNF138
ENSG00000152413,30.56010568,-8.12788067,1.593296776,-5.101297381,3.37E-07,2.29E-06,HOMER1
ENSG00000243660,27.708763,3.657480643,0.717021898,5.100932974,3.38E-07,2.29E-06,ZNF487
ENSG00000273136,209.3363318,1.425485391,0.279490985,5.100291133,3.39E-07,2.30E-06,NBPF26
ENSG00000183621,42.88047289,-2.52446215,0.495224325,-5.097613389,3.44E-07,2.33E-06,ZNF438
ENSG00000011028,250.9966596,2.089974804,0.410243225,5.094477318,3.50E-07,2.37E-06,MRC2
ENSG00000070759,23.50146546,-7.777168057,1.527024117,-5.093022416,3.52E-07,2.39E-06,TESK2
ENSG00000139737,41.45033331,2.743985697,0.538868212,5.092127604,3.54E-07,2.40E-06,SLAIN1
ENSG00000178381,82.08635913,-1.895207501,0.372226239,-5.091547293,3.55E-07,2.40E-06,ZFAND2A
ENSG00000166439,23.55475887,-7.780093881,1.528149149,-5.091187523,3.56E-07,2.41E-06,RNF169
ENSG00000073578,471.9561226,-1.0811765,0.21238882,-5.090552799,3.57E-07,2.41E-06,SDHA
ENSG00000107614,19.46252754,-4.776839919,0.938407879,-5.09036638,3.57E-07,2.41E-06,TRDMT1
ENSG00000124588,185.5636788,-2.692537518,0.529019629,-5.089674125,3.59E-07,2.42E-06,NQO2
ENSG00000132024,54.74199398,-2.241384499,0.440421249,-5.089183381,3.60E-07,2.43E-06,CC2D1A
ENSG00000114126,140.4164848,1.499076286,0.294582578,5.088815158,3.60E-07,2.43E-06,TFDP2
ENSG00000082515,98.42403649,-1.535748136,0.301847651,-5.087825373,3.62E-07,2.44E-06,MRPL22
ENSG00000007237,79.30082497,-2.335727922,0.459175707,-5.086784616,3.64E-07,2.46E-06,GAS7
ENSG00000111181,24.51493121,-7.848448478,1.542947016,-5.086661043,3.64E-07,2.46E-06,SLC6A12
ENSG00000115758,26.57502289,-7.954246045,1.563832059,-5.086381239,3.65E-07,2.46E-06,ODC1
ENSG00000134265,274.0686504,-1.377822945,0.270901004,-5.086075441,3.66E-07,2.46E-06,NAPG
ENSG00000238086,25.77750062,-7.915061261,1.556652884,-5.084666814,3.68E-07,2.48E-06,-
ENSG00000072849,379.8240335,0.966774184,0.190153163,5.084186708,3.69E-07,2.48E-06,DERL2
ENSG00000114439,621.1153177,1.408644114,0.2770857,5.083784961,3.70E-07,2.49E-06,BBX
ENSG00000136877,321.4876949,1.146492159,0.225574711,5.082538517,3.72E-07,2.50E-06,FPGS
ENSG00000186141,261.774666,-1.541513724,0.303323523,-5.082077744,3.73E-07,2.51E-06,POLR3C
ENSG00000124074,20.30927974,4.412828552,0.868343638,5.08189196,3.74E-07,2.51E-06,ENKD1
ENSG00000213347,55.22099971,1.800772669,0.354354016,5.08184637,3.74E-07,2.51E-06,MXD3
ENSG00000065600,217.2577481,1.192337781,0.234633758,5.081697502,3.74E-07,2.51E-06,PACC1
ENSG00000262919,23.20703393,-7.757444945,1.526648361,-5.081356745,3.75E-07,2.51E-06,CCNQ
ENSG00000103274,196.442077,1.19858609,0.23595262,5.079774449,3.78E-07,2.54E-06,NUBP1
ENSG00000082516,105.790143,1.448793077,0.285214099,5.079668515,3.78E-07,2.54E-06,GEMIN5
ENSG00000137266,79.8715089,2.575217193,0.507007936,5.079244347,3.79E-07,2.54E-06,SLC22A23
ENSG00000127527,178.8918077,1.272900542,0.250633805,5.078726487,3.80E-07,2.55E-06,EPS15L1
ENSG00000184743,247.7293136,-1.092773075,0.215211954,-5.077659735,3.82E-07,2.56E-06,ATL3
ENSG00000164587,3881.611761,1.24259649,0.244734819,5.077317956,3.83E-07,2.56E-06,RPS14
ENSG00000174327,23.13034785,-7.754343854,1.527412505,-5.076784319,3.84E-07,2.57E-06,SLC16A13
ENSG00000132964,30.79136137,-3.001296948,0.591330152,-5.075501285,3.86E-07,2.59E-06,CDK8
ENSG00000165617,33.49899684,2.477262319,0.488140163,5.074899599,3.88E-07,2.59E-06,DACT1
ENSG00000186272,27.51433657,-7.991398324,1.574777514,-5.074620545,3.88E-07,2.60E-06,ZNF17
ENSG00000160285,31.76785788,-8.192681793,1.614783498,-5.073548127,3.90E-07,2.61E-06,LSS
ENSG00000137563,24.59629536,-7.839945911,1.545467843,-5.072862529,3.92E-07,2.62E-06,GGH
ENSG00000144115,30.65770447,-3.515171374,0.693237069,-5.070662739,3.96E-07,2.65E-06,THNSL2
ENSG00000106459,77.78087722,-1.929985513,0.380643772,-5.070319423,3.97E-07,2.65E-06,NRF1
ENSG00000143498,92.39468437,1.583846413,0.312389724,5.070097672,3.98E-07,2.65E-06,TAF1A
ENSG00000223724,16.77519779,4.255094641,0.839319105,5.069698301,3.98E-07,2.66E-06,-
ENSG00000196199,747.7703711,1.692815426,0.3339388,5.069238522,3.99E-07,2.66E-06,MPHOSPH8
ENSG00000116133,23.32061741,3.029633636,0.597812886,5.067862718,4.02E-07,2.68E-06,DHCR24
ENSG00000184988,610.4999108,1.34443393,0.265369925,5.066263364,4.06E-07,2.70E-06,TMEM106A
ENSG00000132773,126.6859783,1.657777114,0.327388523,5.063638455,4.11E-07,2.74E-06,TOE1
ENSG00000148803,89.06084351,1.47630085,0.291584228,5.06303396,4.13E-07,2.75E-06,FUOM
ENSG00000122692,470.3623618,-1.138830781,0.224979998,-5.061920138,4.15E-07,2.76E-06,SMU1
ENSG00000144524,289.7128185,1.023178377,0.20218459,5.060615048,4.18E-07,2.78E-06,COPS7B
ENSG00000086232,78.19445056,-3.373875317,0.666968484,-5.058522853,4.23E-07,2.81E-06,EIF2AK1
ENSG00000242034,9.050606902,7.106976175,1.405002281,5.058337821,4.23E-07,2.81E-06,-
ENSG00000165861,52.70874048,-7.389974678,1.461577661,-5.056162854,4.28E-07,2.84E-06,ZFYVE1
ENSG00000170348,1096.616612,-1.56444405,0.309493301,-5.054855929,4.31E-07,2.86E-06,TMED10
ENSG00000276203,50.41976562,2.166334988,0.428620168,5.054206852,4.32E-07,2.87E-06,ANKRD20A3P
ENSG00000142798,43.14466677,3.288415281,0.650788045,5.05297432,4.35E-07,2.89E-06,HSPG2
ENSG00000066135,54.17681957,-3.682073724,0.72895044,-5.051198985,4.39E-07,2.91E-06,KDM4A
ENSG00000130810,22.1253784,-7.693401096,1.523308785,-5.050454099,4.41E-07,2.92E-06,PPAN
ENSG00000160058,514.6220501,1.392083729,0.275767787,5.048028785,4.46E-07,2.96E-06,BSDC1
ENSG00000109381,123.5178543,-1.689066188,0.334609826,-5.047867862,4.47E-07,2.96E-06,ELF2
ENSG00000102057,34.97457373,2.963711173,0.587507319,5.04455192,4.55E-07,3.01E-06,KCND1
ENSG00000157240,22.18476922,-7.694778794,1.525354856,-5.044582749,4.55E-07,3.01E-06,FZD1
ENSG00000257800,15.71682663,3.936608751,0.780411577,5.044272619,4.55E-07,3.01E-06,-
ENSG00000126088,415.6566041,0.954413828,0.189226767,5.043756981,4.56E-07,3.02E-06,UROD
ENSG00000132604,93.50449811,1.449538738,0.287434238,5.043027393,4.58E-07,3.03E-06,TERF2
ENSG00000157625,42.44040315,-3.385988145,0.671460539,-5.042720974,4.59E-07,3.03E-06,TAB3
ENSG00000166002,175.5309076,-1.232158743,0.24440415,-5.041480445,4.62E-07,3.05E-06,SMCO4
ENSG00000180008,101.1385972,-2.78457384,0.552376096,-5.041083169,4.63E-07,3.06E-06,SOCS4
ENSG00000170542,2124.324076,-0.942665663,0.187004747,-5.040864896,4.63E-07,3.06E-06,SERPINB9
ENSG00000171729,240.8916937,1.754202667,0.348016944,5.04056684,4.64E-07,3.06E-06,TMEM51
ENSG00000124201,447.2573285,1.157677967,0.229729906,5.039300217,4.67E-07,3.08E-06,ZNFX1
ENSG00000112739,525.3033112,-1.323800156,0.262700279,-5.039203469,4.67E-07,3.08E-06,PRPF4B
ENSG00000109099,24.10893522,-7.819028862,1.551912141,-5.038319282,4.70E-07,3.10E-06,PMP22
ENSG00000119685,200.7301236,1.455350772,0.288895134,5.037643769,4.71E-07,3.11E-06,TTLL5
ENSG00000185215,392.3093746,2.12573435,0.422001003,5.037273218,4.72E-07,3.11E-06,TNFAIP2
ENSG00000163918,113.1727612,1.331026632,0.264245157,5.037089985,4.73E-07,3.11E-06,RFC4
ENSG00000076067,228.6971285,-2.010837225,0.399267346,-5.036317758,4.75E-07,3.12E-06,RBMS2
ENSG00000157483,249.8054793,1.689447342,0.335533236,5.035111752,4.78E-07,3.14E-06,MYO1E
ENSG00000284770,194.8316776,1.234599505,0.245364661,5.031692425,4.86E-07,3.20E-06,TBCE
ENSG00000103479,329.5616293,-1.77307224,0.352508072,-5.02987699,4.91E-07,3.23E-06,RBL2
ENSG00000106086,62.45995073,-1.89343112,0.376729636,-5.02596807,5.01E-07,3.29E-06,PLEKHA8
ENSG00000169105,117.5771143,2.752057181,0.547702851,5.024726774,5.04E-07,3.31E-06,CHST14
ENSG00000277147,309.5250292,0.994727099,0.197975019,5.02450817,5.05E-07,3.32E-06,-
ENSG00000185721,256.1402875,1.35033875,0.268803285,5.023520276,5.07E-07,3.33E-06,DRG1
ENSG00000203326,33.26690121,-8.260851043,1.644558762,-5.023141303,5.08E-07,3.34E-06,ZNF525
ENSG00000070190,154.1735866,-1.217160953,0.24235126,-5.022300902,5.11E-07,3.35E-06,DAPP1
ENSG00000126458,21.83909395,-7.671770466,1.527741797,-5.021640753,5.12E-07,3.36E-06,RRAS
ENSG00000116852,176.6822885,2.165443319,0.431406874,5.019491916,5.18E-07,3.40E-06,KIF21B
ENSG00000160294,591.0893769,1.327817324,0.264529955,5.019534826,5.18E-07,3.40E-06,MCM3AP
ENSG00000178726,700.5273542,-9.633534762,1.919462229,-5.018871752,5.20E-07,3.41E-06,THBD
ENSG00000146021,23.70862541,-7.771056226,1.54889506,-5.017161217,5.24E-07,3.44E-06,KLHL3
ENSG00000163950,126.4569848,-1.573849411,0.31371409,-5.016827298,5.25E-07,3.44E-06,SLBP
ENSG00000249212,13.70290748,5.576950615,1.111727031,5.016474783,5.26E-07,3.44E-06,-
ENSG00000198873,30.47998654,-4.501918089,0.897479591,-5.016178792,5.27E-07,3.45E-06,GRK5
ENSG00000131725,121.3195069,1.372473015,0.273628162,5.01583245,5.28E-07,3.45E-06,WDR44
ENSG00000167394,21.96558483,-7.680001781,1.531155947,-5.01581945,5.28E-07,3.45E-06,ZNF668
ENSG00000149806,1680.42706,1.381132418,0.275380403,5.015362025,5.29E-07,3.46E-06,FAU
ENSG00000109452,27.39507238,-7.999771756,1.595080316,-5.015278337,5.30E-07,3.46E-06,INPP4B
ENSG00000128789,411.074596,1.02674972,0.204851872,5.012156888,5.38E-07,3.52E-06,PSMG2
ENSG00000078124,496.3066554,-2.933351791,0.585330529,-5.011445064,5.40E-07,3.53E-06,ACER3
ENSG00000108846,67.50581345,1.919550404,0.383030792,5.01147804,5.40E-07,3.53E-06,ABCC3
ENSG00000243716,902.2128842,-1.222166301,0.243935588,-5.010200901,5.44E-07,3.55E-06,NPIPB5
ENSG00000205356,109.3015889,-1.704561481,0.340226668,-5.010076056,5.44E-07,3.55E-06,TECPR1
ENSG00000091317,1306.239342,-0.787774445,0.157252672,-5.009609293,5.45E-07,3.56E-06,CMTM6
ENSG00000161970,4959.653821,1.490647001,0.297830426,5.00501921,5.59E-07,3.64E-06,RPL26
ENSG00000112309,89.71017846,1.765256882,0.352735307,5.004480262,5.60E-07,3.65E-06,B3GAT2
ENSG00000203989,8.72079974,7.053756529,1.409476097,5.004523699,5.60E-07,3.65E-06,RHOXF2B
ENSG00000181817,110.1943307,-1.690126664,0.33780846,-5.003209996,5.64E-07,3.67E-06,LSM10
ENSG00000136518,82.51639785,-2.795025861,0.558910282,-5.000848885,5.71E-07,3.71E-06,ACTL6A
ENSG00000118495,308.8533633,1.173932191,0.234819729,4.999291144,5.75E-07,3.74E-06,PLAGL1
ENSG00000106992,88.16942358,2.245090453,0.449135632,4.998691476,5.77E-07,3.75E-06,AK1
ENSG00000164136,43.08099509,-2.454991821,0.491257102,-4.997366579,5.81E-07,3.78E-06,IL15
ENSG00000109743,41.46147526,2.258357327,0.451998063,4.996387181,5.84E-07,3.80E-06,BST1
ENSG00000186806,22.97622088,-7.743391606,1.5500683,-4.995516396,5.87E-07,3.81E-06,VSIG10L
ENSG00000144026,102.9145074,-1.850720224,0.370514846,-4.994996133,5.88E-07,3.82E-06,ZNF514
ENSG00000088451,66.89055432,-2.318227186,0.464159421,-4.994463282,5.90E-07,3.83E-06,TGDS
ENSG00000115947,718.9574336,-0.873309647,0.174900333,-4.993184581,5.94E-07,3.85E-06,ORC4
ENSG00000128594,162.4025395,1.852842279,0.371098629,4.992856703,5.95E-07,3.86E-06,LRRC4
ENSG00000267680,118.2192658,-1.361349608,0.272703235,-4.992055218,5.97E-07,3.87E-06,ZNF224
ENSG00000149243,42.26645046,2.173882484,0.435602798,4.990515422,6.02E-07,3.90E-06,KLHL35
ENSG00000166788,48.32672508,-7.052246376,1.413399853,-4.989562126,6.05E-07,3.92E-06,SAAL1
ENSG00000223705,485.8273287,1.160292341,0.232575106,4.988893089,6.07E-07,3.93E-06,-
ENSG00000067167,549.1172407,-0.970623145,0.194564589,-4.988693737,6.08E-07,3.93E-06,TRAM1
ENSG00000197498,251.5082711,1.332015431,0.26701981,4.988451727,6.09E-07,3.94E-06,RPF2
ENSG00000136840,47.62162208,-7.167420643,1.43700328,-4.987755243,6.11E-07,3.95E-06,ST6GALNAC4
ENSG00000071282,14.51866585,5.243878598,1.051946952,4.984926841,6.20E-07,4.01E-06,LMCD1
ENSG00000131378,74.81101256,1.937148919,0.388605535,4.984872182,6.20E-07,4.01E-06,RFTN1
ENSG00000101343,129.6864551,-1.625539034,0.326105115,-4.984708795,6.21E-07,4.01E-06,CRNKL1
ENSG00000113851,336.4775862,1.49548262,0.300011592,4.984749456,6.20E-07,4.01E-06,CRBN
ENSG00000118985,437.5107317,-1.363674158,0.2735892,-4.98438592,6.22E-07,4.01E-06,ELL2
ENSG00000091513,130.8949981,1.770694601,0.355257813,4.984252386,6.22E-07,4.01E-06,TF
ENSG00000118217,894.7569833,-1.319153767,0.26466632,-4.984214722,6.22E-07,4.01E-06,ATF6
ENSG00000181523,238.7087162,1.129220927,0.226581523,4.983729077,6.24E-07,4.02E-06,SGSH
ENSG00000144320,207.9004509,-2.266961166,0.454906908,-4.983351815,6.25E-07,4.03E-06,LNPK
ENSG00000144395,76.76224977,2.229810937,0.447766573,4.979851274,6.36E-07,4.10E-06,CCDC150
ENSG00000257315,92.86495939,-9.761060563,1.96015442,-4.979740608,6.37E-07,4.10E-06,ZBED6
ENSG00000233603,10.75716868,6.594499856,1.324480583,4.978932827,6.39E-07,4.12E-06,-
ENSG00000097046,21.19400827,-7.625412527,1.531820157,-4.978007694,6.42E-07,4.14E-06,CDC7
ENSG00000079739,244.3740289,-3.056905622,0.614209233,-4.976977641,6.46E-07,4.16E-06,PGM1
ENSG00000019169,21.67631723,-7.677899859,1.54304141,-4.975822302,6.50E-07,4.18E-06,MARCO
ENSG00000181690,256.2163758,1.127061903,0.226512129,4.975724292,6.50E-07,4.18E-06,PLAG1
ENSG00000187240,28.58496089,-8.041163939,1.616184788,-4.975398852,6.51E-07,4.19E-06,DYNC2H1
ENSG00000177150,129.9420296,-2.811066874,0.565030949,-4.975067082,6.52E-07,4.19E-06,FAM210A
ENSG00000186376,54.48128617,-7.332340069,1.473955564,-4.974600487,6.54E-07,4.20E-06,ZNF75D
ENSG00000180233,51.57907664,-2.478240098,0.498225883,-4.974129574,6.55E-07,4.21E-06,ZNRF2
ENSG00000135040,49.3047,-2.353341699,0.473163393,-4.973634334,6.57E-07,4.22E-06,NAA35
ENSG00000162601,161.3764585,1.52132582,0.305880764,4.973591022,6.57E-07,4.22E-06,MYSM1
ENSG00000165702,39.47549921,2.69148206,0.541246475,4.972747504,6.60E-07,4.23E-06,GFI1B
ENSG00000138472,8.763993323,7.060511908,1.420024069,4.972107206,6.62E-07,4.25E-06,GUCA1C
ENSG00000121879,93.9301384,-2.048002721,0.411953858,-4.971437166,6.65E-07,4.26E-06,PIK3CA
